video_id,product_id,platform,title,video_url,publish_date,duration_seconds,views,likes,comments,shares,creator_followers,content_format,hook_type,demo_present,comparison_present,cta_present,main_feature,description,transcript,hashtags,creator_name,language
V000001,P001,TikTok,Synthetic Product Video 1-1,https://example.com/videos/v000001,2025-01-01,71,565267,303244,20021,1968,326042,demo,surprising_fact,False,,True,price,Top 5 tips and best tools for this category.,Today I'm showing how it works. Use code TEST for a small discount.,"tutorial, setup, tips",Creator 1,en
V000002,P001,Other,Synthetic Product Video 1-2,https://example.com/videos/v000002,2025-01-02,141,76173,,,,427871,lifestyle,general_introduction,False,,True,portability,Honest review with pros and cons plus a link in bio.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#career #automation #template,Creator 1,en
V000003,P001,Other,Synthetic Product Video 1-3,https://example.com/videos/v000003,2025-01-03,235,593129,100125,22082,18247,,review,discount_offer,False,False,True,durability,Quick demo and real example with a current price reminder.,I got better results after using the template and export options.,#demo #review #affiliate,Creator 1,en
V000004,P001,YouTube,Synthetic Product Video 1-4,https://example.com/videos/v000004,2025-01-04,110,255038,183339,5154,3883,403510,tutorial,problem_solution,,,True,customer support,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,#career #automation #template,Creator 1,unknown
V000005,P001,Facebook,Synthetic Product Video 1-5,https://example.com/videos/v000005,2025-01-05,72,354054,35785,662,6732,248645,listicle,question,,False,,speed,Step by step tutorial showing the setup and main benefits.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#career #automation #template,Creator 1,en
V000006,P002,Facebook,Synthetic Product Video 2-1,https://example.com/videos/v000006,2025-01-06,236,697745,236461,13981,62513,193909,tutorial,discount_offer,False,,,portability,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,#career #automation #template,Creator 2,en
V000007,P002,Other,Synthetic Product Video 2-2,https://example.com/videos/v000007,2025-01-07,88,543054,,,,155157,demo,general_introduction,True,True,False,ease of use,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,#demo #review #affiliate,Creator 2,unknown
V000008,P002,Other,Synthetic Product Video 2-3,https://example.com/videos/v000008,2025-01-08,133,464254,345029,219,9448,,testimonial,question,False,,True,speed,Top 5 tips and best tools for this category.,Today I'm showing how it works. Use code TEST for a small discount.,#career #automation #template,Creator 2,en
V000009,P002,TikTok,Synthetic Product Video 2-4,https://example.com/videos/v000009,2025-01-09,114,203029,106827,9460,15605,1694,review,surprising_fact,True,False,False,ease of use,Quick demo and real example with a current price reminder.,I got better results after using the template and export options.,#demo #review #affiliate,Creator 2,en
V000010,P002,Facebook,Synthetic Product Video 2-5,https://example.com/videos/v000010,2025-01-10,152,799088,469270,6613,46682,256421,comparison,result_first,True,False,False,portability,Honest review with pros and cons plus a link in bio.,Struggling with setup? Here is how to fix it in a simple walkthrough.,"tutorial, setup, tips",Creator 2,en
V000011,P003,TikTok,Synthetic Product Video 3-1,https://example.com/videos/v000011,2025-01-11,46,775145,99239,6982,51796,59964,testimonial,result_first,,,,speed,Quick demo and real example with a current price reminder.,I got better results after using the template and export options.,"tutorial, setup, tips",Creator 3,unknown
V000012,P003,Other,Synthetic Product Video 3-2,https://example.com/videos/v000012,2025-01-12,159,367677,,,,366974,comparison,problem_solution,False,True,,design,Quick demo and real example with a current price reminder.,Struggling with setup? Here is how to fix it in a simple walkthrough.,"tutorial, setup, tips",Creator 3,en
V000013,P003,Facebook,Synthetic Product Video 3-3,https://example.com/videos/v000013,2025-01-13,195,315954,217585,3303,9432,,tutorial,result_first,False,False,,price,Top 5 tips and best tools for this category.,I got better results after using the template and export options.,#demo #review #affiliate,Creator 3,en
V000014,P003,YouTube,Synthetic Product Video 3-4,https://example.com/videos/v000014,2025-01-14,67,780618,486309,36455,12179,245851,demo,discount_offer,,False,,design,Honest review with pros and cons plus a link in bio.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#demo #review #affiliate,Creator 3,en
V000015,P003,YouTube,Synthetic Product Video 3-5,https://example.com/videos/v000015,2025-01-15,95,653740,268831,573,36318,407487,comparison,discount_offer,False,False,,customer support,Top 5 tips and best tools for this category.,This comparison explains the alternative and when it is worth it.,#demo #review #affiliate,Creator 3,en
V000016,P004,Other,Synthetic Product Video 4-1,https://example.com/videos/v000016,2025-01-16,7,763438,69722,11361,3136,316680,review,result_first,False,,True,durability,Honest review with pros and cons plus a link in bio.,This comparison explains the alternative and when it is worth it.,#career #automation #template,Creator 4,unknown
V000017,P004,Other,Synthetic Product Video 4-2,https://example.com/videos/v000017,2025-01-17,8,559489,,,,286356,review,discount_offer,False,False,False,price,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#career #automation #template,Creator 4,en
V000018,P004,TikTok,Synthetic Product Video 4-3,https://example.com/videos/v000018,2025-01-18,139,118854,86565,3178,6959,,testimonial,question,False,True,True,speed,Top 5 tips and best tools for this category.,Today I'm showing how it works. Use code TEST for a small discount.,#career #automation #template,Creator 4,en
V000019,P004,TikTok,Synthetic Product Video 4-4,https://example.com/videos/v000019,2025-01-19,138,489832,343462,11233,25710,344353,comparison,discount_offer,False,,True,automation,Quick demo and real example with a current price reminder.,Today I'm showing how it works. Use code TEST for a small discount.,#demo #review #affiliate,Creator 4,unknown
V000020,P004,Instagram,Synthetic Product Video 4-5,https://example.com/videos/v000020,2025-01-20,227,701329,95303,9456,2856,262703,listicle,general_introduction,True,,True,speed,Step by step tutorial showing the setup and main benefits.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#demo #review #affiliate,Creator 4,unknown
V000021,P005,YouTube,Synthetic Product Video 5-1,https://example.com/videos/v000021,2025-01-21,230,983228,734930,7411,42606,278995,unboxing,result_first,,True,False,portability,Honest review with pros and cons plus a link in bio.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#career #automation #template,Creator 5,en
V000022,P005,Instagram,Synthetic Product Video 5-2,https://example.com/videos/v000022,2025-01-22,52,837295,,,,461534,demo,problem_solution,False,False,,speed,Honest review with pros and cons plus a link in bio.,Struggling with setup? Here is how to fix it in a simple walkthrough.,"tutorial, setup, tips",Creator 5,unknown
V000023,P005,Other,Synthetic Product Video 5-3,https://example.com/videos/v000023,2025-01-23,193,649564,157417,22697,13897,,unboxing,general_introduction,False,,,price,Step by step tutorial showing the setup and main benefits.,This comparison explains the alternative and when it is worth it.,"tutorial, setup, tips",Creator 5,unknown
V000024,P005,Instagram,Synthetic Product Video 5-4,https://example.com/videos/v000024,2025-01-24,172,308890,208951,9354,16331,466444,demo,result_first,False,True,True,customer support,Top 5 tips and best tools for this category.,This comparison explains the alternative and when it is worth it.,"tutorial, setup, tips",Creator 5,unknown
V000025,P005,Facebook,Synthetic Product Video 5-5,https://example.com/videos/v000025,2025-01-25,51,788009,601454,20218,13238,250931,comparison,problem_solution,True,True,,durability,Top 5 tips and best tools for this category.,This comparison explains the alternative and when it is worth it.,"tutorial, setup, tips",Creator 5,unknown
V000026,P006,YouTube,Synthetic Product Video 6-1,https://example.com/videos/v000026,2025-01-26,36,710439,228992,4079,18461,275528,listicle,problem_solution,False,True,True,automation,Quick demo and real example with a current price reminder.,I got better results after using the template and export options.,"tutorial, setup, tips",Creator 6,unknown
V000027,P006,Facebook,Synthetic Product Video 6-2,https://example.com/videos/v000027,2025-01-27,82,444406,,,,139015,tutorial,surprising_fact,False,False,True,price,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,"tutorial, setup, tips",Creator 6,en
V000028,P006,Instagram,Synthetic Product Video 6-3,https://example.com/videos/v000028,2025-01-28,170,716630,50478,7423,55777,,lifestyle,question,True,False,,portability,Honest review with pros and cons plus a link in bio.,This comparison explains the alternative and when it is worth it.,comparison | tools | discount,Creator 6,en
V000029,P006,Facebook,Synthetic Product Video 6-4,https://example.com/videos/v000029,2025-01-29,75,71323,51884,1647,6331,361472,lifestyle,question,,False,True,durability,Quick demo and real example with a current price reminder.,Today I'm showing how it works. Use code TEST for a small discount.,#demo #review #affiliate,Creator 6,unknown
V000030,P006,YouTube,Synthetic Product Video 6-5,https://example.com/videos/v000030,2025-01-30,147,408266,354319,14104,991,445501,listicle,result_first,,False,True,ease of use,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#demo #review #affiliate,Creator 6,en
