video_id,product_id,platform,title,video_url,publish_date,duration_seconds,views,likes,comments,shares,creator_followers,content_format,hook_type,demo_present,comparison_present,cta_present,main_feature,description,transcript,hashtags,creator_name,language
V000001,P0001,Facebook,Synthetic Product Video 1-1,https://example.com/videos/v000001,2025-01-01,144,609103,527115,17674,58564,149556,lifestyle,discount_offer,False,True,,ease of use,Honest review with pros and cons plus a link in bio.,Today I'm showing how it works. Use code TEST for a small discount.,"tutorial, setup, tips",Creator 1,en
V000002,P0001,YouTube,Synthetic Product Video 1-2,https://example.com/videos/v000002,2025-01-02,140,249172,,,,403639,demo,discount_offer,,True,False,price,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#demo #review #affiliate,Creator 1,unknown
V000003,P0001,Instagram,Synthetic Product Video 1-3,https://example.com/videos/v000003,2025-01-03,154,613447,228044,3854,6560,,review,discount_offer,False,,,customer support,Top 5 tips and best tools for this category.,Today I'm showing how it works. Use code TEST for a small discount.,#demo #review #affiliate,Creator 1,unknown
V000004,P0001,Other,Synthetic Product Video 1-4,https://example.com/videos/v000004,2025-01-04,135,980774,510955,2074,23433,74694,lifestyle,problem_solution,,False,True,customer support,Top 5 tips and best tools for this category.,I got better results after using the template and export options.,comparison | tools | discount,Creator 1,unknown
V000005,P0001,Facebook,Synthetic Product Video 1-5,https://example.com/videos/v000005,2025-01-05,187,616391,217713,6618,15585,224574,tutorial,result_first,,,,ease of use,Top 5 tips and best tools for this category.,Struggling with setup? Here is how to fix it in a simple walkthrough.,#demo #review #affiliate,Creator 1,en
V000006,P0002,Other,Synthetic Product Video 2-1,https://example.com/videos/v000006,2025-01-06,163,352833,34223,10228,25906,188324,lifestyle,result_first,False,False,False,durability,Quick demo and real example with a current price reminder.,I got better results after using the template and export options.,"tutorial, setup, tips",Creator 2,en
V000007,P0002,TikTok,Synthetic Product Video 2-2,https://example.com/videos/v000007,2025-01-07,234,469999,,,,9812,demo,general_introduction,True,False,False,customer support,Quick demo and real example with a current price reminder.,Today I'm showing how it works. Use code TEST for a small discount.,comparison | tools | discount,Creator 2,unknown
V000008,P0002,Other,Synthetic Product Video 2-3,https://example.com/videos/v000008,2025-01-08,93,827645,557765,40499,65375,,unboxing,discount_offer,True,,,automation,Top 5 tips and best tools for this category.,Today I'm showing how it works. Use code TEST for a small discount.,comparison | tools | discount,Creator 2,en
V000009,P0002,Facebook,Synthetic Product Video 2-4,https://example.com/videos/v000009,2025-01-09,104,464321,174815,10309,17073,193065,lifestyle,discount_offer,True,False,False,portability,Step by step tutorial showing the setup and main benefits.,I got better results after using the template and export options.,#demo #review #affiliate,Creator 2,unknown
V000010,P0002,Facebook,Synthetic Product Video 2-5,https://example.com/videos/v000010,2025-01-10,203,868950,320451,13581,28368,441780,testimonial,problem_solution,True,,False,speed,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,comparison | tools | discount,Creator 2,en
V000011,P0003,Facebook,Synthetic Product Video 3-1,https://example.com/videos/v000011,2025-01-11,198,818592,323201,16846,30437,90203,unboxing,problem_solution,,False,True,price,Honest review with pros and cons plus a link in bio.,This comparison explains the alternative and when it is worth it.,#demo #review #affiliate,Creator 3,unknown
V000012,P0003,Instagram,Synthetic Product Video 3-2,https://example.com/videos/v000012,2025-01-12,240,752570,,,,457149,demo,result_first,True,True,False,customer support,Honest review with pros and cons plus a link in bio.,This comparison explains the alternative and when it is worth it.,#demo #review #affiliate,Creator 3,unknown
V000013,P0003,Other,Synthetic Product Video 3-3,https://example.com/videos/v000013,2025-01-13,137,802712,498056,1879,73336,,testimonial,surprising_fact,,False,True,portability,Top 5 tips and best tools for this category.,This comparison explains the alternative and when it is worth it.,#career #automation #template,Creator 3,en
V000014,P0003,Instagram,Synthetic Product Video 3-4,https://example.com/videos/v000014,2025-01-14,24,583260,187793,784,27006,208686,listicle,general_introduction,True,,,speed,Quick demo and real example with a current price reminder.,Today I'm showing how it works. Use code TEST for a small discount.,"tutorial, setup, tips",Creator 3,en
V000015,P0003,YouTube,Synthetic Product Video 3-5,https://example.com/videos/v000015,2025-01-15,160,263892,1056,4611,11475,399253,listicle,result_first,False,False,False,customer support,Quick demo and real example with a current price reminder.,This comparison explains the alternative and when it is worth it.,#career #automation #template,Creator 3,en
